Authors,Source,Title,Year,Ni (at.%),Ti (at.%),ev/a (Number of Valence Electrons),composition,Hf (at.%)
X. L. Meng; W. Cai; L. M. Wang; Y. F. Zheng; L. C. Zhao and L. M. Zhou,Scripta Materialia,Microstructure of stress-induced martensite in a Ti–Ni–Hf high temperature shape memory alloy,2001.0,49.0,36.0,6.94,Ni49.0Ti36.0Hf15.0 %,15.0
X. L. Meng; W. Cai; L. M. Wang; Y. F. Zheng; L. C. Zhao and L. M. Zhou,Scripta Materialia,Microstructure of stress-induced martensite in a Ti–Ni–Hf high temperature shape memory alloy,2001.0,49.0,36.0,6.94,Ni49.0Ti36.0Hf15.0 %,15.0
X. L. Meng; W. Cai; L. M. Wang; Y. F. Zheng; L. C. Zhao and L. M. Zhou,Scripta Materialia,Microstructure of stress-induced martensite in a Ti–Ni–Hf high temperature shape memory alloy,2001.0,49.0,36.0,6.94,Ni49.0Ti36.0Hf15.0 %,15.0
X. Yi; X. Meng; W. Cai and L. Zhao,Journal of Alloys and Compounds,Multi-stage martensitic transformation behaviors and microstructural characteristics of Ti-Ni-Hf high temperature shape memory alloy powders,2019.0,49.0,36.0,6.94,Ni49.0Ti36.0Hf15.0 %,15.0
X. Yi; X. Meng; W. Cai and L. Zhao,Journal of Alloys and Compounds,Multi-stage martensitic transformation behaviors and microstructural characteristics of Ti-Ni-Hf high temperature shape memory alloy powders,2019.0,49.0,36.0,6.94,Ni49.0Ti36.0Hf15.0 %,15.0
X. Yi; X. Meng; W. Cai and L. Zhao,Journal of Alloys and Compounds,Multi-stage martensitic transformation behaviors and microstructural characteristics of Ti-Ni-Hf high temperature shape memory alloy powders,2019.0,49.0,36.0,6.94,Ni49.0Ti36.0Hf15.0 %,15.0
X. Yi; X. Meng; W. Cai and L. Zhao,Journal of Alloys and Compounds,Multi-stage martensitic transformation behaviors and microstructural characteristics of Ti-Ni-Hf high temperature shape memory alloy powders,2019.0,49.0,36.0,6.94,Ni49.0Ti36.0Hf15.0 %,15.0
X. Yi; X. Meng; W. Cai and L. Zhao,Journal of Alloys and Compounds,Multi-stage martensitic transformation behaviors and microstructural characteristics of Ti-Ni-Hf high temperature shape memory alloy powders,2019.0,49.0,36.0,6.94,Ni49.0Ti36.0Hf15.0 %,15.0
X. Yi; X. Meng; W. Cai and L. Zhao,Journal of Alloys and Compounds,Multi-stage martensitic transformation behaviors and microstructural characteristics of Ti-Ni-Hf high temperature shape memory alloy powders,2019.0,49.0,36.0,6.94,Ni49.0Ti36.0Hf15.0 %,15.0
S. Besseghini; E. Villa and A. Tuissi,Materials Science and Engineering: A,Ni-Ti-Hf shape memory alloy: effect of aging and thermal cycling,1999.0,49.0,41.0,6.94,Ni49.0Ti41.0Hf10.0 %,10.0
S. Besseghini; E. Villa and A. Tuissi,Materials Science and Engineering: A,Ni-Ti-Hf shape memory alloy: effect of aging and thermal cycling,1999.0,49.0,41.0,6.94,Ni49.0Ti41.0Hf10.0 %,10.0
S. Besseghini; E. Villa and A. Tuissi,Materials Science and Engineering: A,Ni-Ti-Hf shape memory alloy: effect of aging and thermal cycling,1999.0,49.0,41.0,6.94,Ni49.0Ti41.0Hf10.0 %,10.0
S. Besseghini; E. Villa and A. Tuissi,Materials Science and Engineering: A,Ni-Ti-Hf shape memory alloy: effect of aging and thermal cycling,1999.0,49.0,41.0,6.94,Ni49.0Ti41.0Hf10.0 %,10.0
S. Besseghini; E. Villa and A. Tuissi,Materials Science and Engineering: A,Ni-Ti-Hf shape memory alloy: effect of aging and thermal cycling,1999.0,49.0,41.0,6.94,Ni49.0Ti41.0Hf10.0 %,10.0
S. Besseghini; E. Villa and A. Tuissi,Materials Science and Engineering: A,Ni-Ti-Hf shape memory alloy: effect of aging and thermal cycling,1999.0,49.0,41.0,6.94,Ni49.0Ti41.0Hf10.0 %,10.0
S. Besseghini; E. Villa and A. Tuissi,Materials Science and Engineering: A,Ni-Ti-Hf shape memory alloy: effect of aging and thermal cycling,1999.0,49.0,41.0,6.94,Ni49.0Ti41.0Hf10.0 %,10.0
S. Besseghini; E. Villa and A. Tuissi,Materials Science and Engineering: A,Ni-Ti-Hf shape memory alloy: effect of aging and thermal cycling,1999.0,49.0,41.0,6.94,Ni49.0Ti41.0Hf10.0 %,10.0
S. Besseghini; E. Villa and A. Tuissi,Materials Science and Engineering: A,Ni-Ti-Hf shape memory alloy: effect of aging and thermal cycling,1999.0,49.0,41.0,6.94,Ni49.0Ti41.0Hf10.0 %,10.0
N. N. Popov; D. V. Presnyakov; E. N. Grishin; T. I. Sysoeva; T. A. Morozova and A. A. Kostyleva,Russian Metallurgy (Metally),Properties of a 49Ni–36Ti–15Hf High-Temperature Shape Memory Alloy in the As-Cast State,2019.0,49.0,36.0,6.94,Ni49.0Ti36.0Hf15.0 %,15.0
N. N. Popov; D. V. Presnyakov; E. N. Grishin; T. I. Sysoeva; T. A. Morozova and A. A. Kostyleva,Russian Metallurgy (Metally),Properties of a 49Ni–36Ti–15Hf High-Temperature Shape Memory Alloy in the As-Cast State,2019.0,49.0,36.0,6.94,Ni49.0Ti36.0Hf15.0 %,15.0
X. L. Meng; Y. F. Zheng; Z. Wang and L. C. Zhao,Materials Letters,Shape memory properties of the Ti36Ni49Hf15 high temperature shape memory alloy,2000.0,49.0,36.0,6.94,Ni49.0Ti36.0Hf15.0 %,15.0
X. L. Meng; Y. F. Zheng; Z. Wang and L. C. Zhao,Materials Letters,Shape memory properties of the Ti36Ni49Hf15 high temperature shape memory alloy,2000.0,49.0,36.0,6.94,Ni49.0Ti36.0Hf15.0 %,15.0
X. L. Meng; Y. F. Zheng; Z. Wang and L. C. Zhao,Materials Letters,Shape memory properties of the Ti36Ni49Hf15 high temperature shape memory alloy,2000.0,49.0,36.0,6.94,Ni49.0Ti36.0Hf15.0 %,15.0
D.-J. Kim; Y.-W. Kim and T.-H. Nam,Journal of nanoscience and nanotechnology,Solidification Rate Dependence of Microstructures and Transformation Behavior of Ti–Ni–Hf Alloys,2018.0,49.0,31.0,6.94,Ni49.0Ti31.0Hf20.0 %,20.0
D.-J. Kim; Y.-W. Kim and T.-H. Nam,Journal of nanoscience and nanotechnology,Solidification Rate Dependence of Microstructures and Transformation Behavior of Ti–Ni–Hf Alloys,2018.0,49.0,31.0,6.94,Ni49.0Ti31.0Hf20.0 %,20.0
D.-J. Kim; Y.-W. Kim and T.-H. Nam,Journal of nanoscience and nanotechnology,Solidification Rate Dependence of Microstructures and Transformation Behavior of Ti–Ni–Hf Alloys,2018.0,49.0,31.0,6.94,Ni49.0Ti31.0Hf20.0 %,20.0
L. Liu; X. Meng; W. Cai; Y. Zheng; Y. X. Tong; L. C. Zhao and L. M. Zhou,Materials Science Forum,Stress-Induced Martensitic Transformation and Microstructure of a Ti36Ni49Hf15 High-Temperature Shape-Memory Alloy,2002.0,49.0,36.0,6.94,Ni49.0Ti36.0Hf15.0 %,15.0
L. Liu; X. Meng; W. Cai; Y. Zheng; Y. X. Tong; L. C. Zhao and L. M. Zhou,Materials Science Forum,Stress-Induced Martensitic Transformation and Microstructure of a Ti36Ni49Hf15 High-Temperature Shape-Memory Alloy,2002.0,49.0,36.0,6.94,Ni49.0Ti36.0Hf15.0 %,15.0
L. Liu; X. Meng; W. Cai; Y. Zheng; Y. X. Tong; L. C. Zhao and L. M. Zhou,Materials Science Forum,Stress-Induced Martensitic Transformation and Microstructure of a Ti36Ni49Hf15 High-Temperature Shape-Memory Alloy,2002.0,49.0,36.0,6.94,Ni49.0Ti36.0Hf15.0 %,15.0
L. Liu; X. Meng; W. Cai; Y. Zheng; Y. X. Tong; L. C. Zhao and L. M. Zhou,Materials Science Forum,Stress-Induced Martensitic Transformation and Microstructure of a Ti36Ni49Hf15 High-Temperature Shape-Memory Alloy,2002.0,49.0,36.0,6.94,Ni49.0Ti36.0Hf15.0 %,15.0
L. Liu; X. Meng; W. Cai; Y. Zheng; Y. X. Tong; L. C. Zhao and L. M. Zhou,Materials Science Forum,Stress-Induced Martensitic Transformation and Microstructure of a Ti36Ni49Hf15 High-Temperature Shape-Memory Alloy,2002.0,49.0,36.0,6.94,Ni49.0Ti36.0Hf15.0 %,15.0
L. Liu; X. Meng; W. Cai; Y. Zheng; Y. X. Tong; L. C. Zhao and L. M. Zhou,Materials Science Forum,Stress-Induced Martensitic Transformation and Microstructure of a Ti36Ni49Hf15 High-Temperature Shape-Memory Alloy,2002.0,49.0,36.0,6.94,Ni49.0Ti36.0Hf15.0 %,15.0
X. L. Meng; W. Cai; Y. F. Zheng; Y. X. Tong; L. C. Zhao and L. M. Zhou,Materials Letters,Stress-induced martensitic transformation behavior of a Ti–Ni–Hf high temperature shape memory alloy,2002.0,49.0,36.0,6.94,Ni49.0Ti36.0Hf15.0 %,15.0
P. E. Thoma; C. Zhang; J. J. Boehm and R. H. Zee,Journal de Physique IV ,The Effect of Hafnium Content and Cycling under an Applied Axial Stress on the Creep and Martensite Strain of NiTi Based Shape Memory Alloy Wires ,1997.0,49.0,50.0,6.94,Ni49.0Ti50.0Hf1.0 %,1.0
P. E. Thoma; C. Zhang; J. J. Boehm and R. H. Zee,Journal de Physique IV ,The Effect of Hafnium Content and Cycling under an Applied Axial Stress on the Creep and Martensite Strain of NiTi Based Shape Memory Alloy Wires ,1997.0,49.0,50.0,6.94,Ni49.0Ti50.0Hf1.0 %,1.0
P. E. Thoma; C. Zhang; J. J. Boehm and R. H. Zee,Journal de Physique IV ,The Effect of Hafnium Content and Cycling under an Applied Axial Stress on the Creep and Martensite Strain of NiTi Based Shape Memory Alloy Wires ,1997.0,49.0,50.0,6.94,Ni49.0Ti50.0Hf1.0 %,1.0
P. E. Thoma; C. Zhang; J. J. Boehm and R. H. Zee,Journal de Physique IV ,The Effect of Hafnium Content and Cycling under an Applied Axial Stress on the Creep and Martensite Strain of NiTi Based Shape Memory Alloy Wires ,1997.0,49.0,50.0,6.94,Ni49.0Ti50.0Hf1.0 %,1.0
P. E. Thoma; C. Zhang; J. J. Boehm and R. H. Zee,Journal de Physique IV ,The Effect of Hafnium Content and Cycling under an Applied Axial Stress on the Creep and Martensite Strain of NiTi Based Shape Memory Alloy Wires ,1997.0,49.0,50.0,6.94,Ni49.0Ti50.0Hf1.0 %,1.0
P. E. Thoma; C. Zhang; J. J. Boehm and R. H. Zee,Journal de Physique IV ,The Effect of Hafnium Content and Cycling under an Applied Axial Stress on the Creep and Martensite Strain of NiTi Based Shape Memory Alloy Wires ,1997.0,49.0,50.0,6.94,Ni49.0Ti50.0Hf1.0 %,1.0
P. E. Thoma; C. Zhang; J. J. Boehm and R. H. Zee,Journal de Physique IV ,The Effect of Hafnium Content and Cycling under an Applied Axial Stress on the Creep and Martensite Strain of NiTi Based Shape Memory Alloy Wires ,1997.0,49.0,50.0,6.94,Ni49.0Ti50.0Hf1.0 %,1.0
P. E. Thoma; C. Zhang; J. J. Boehm and R. H. Zee,Journal de Physique IV ,The Effect of Hafnium Content and Cycling under an Applied Axial Stress on the Creep and Martensite Strain of NiTi Based Shape Memory Alloy Wires ,1997.0,49.0,50.0,6.94,Ni49.0Ti50.0Hf1.0 %,1.0
P. E. Thoma; C. Zhang; J. J. Boehm and R. H. Zee,Journal de Physique IV ,The Effect of Hafnium Content and Cycling under an Applied Axial Stress on the Creep and Martensite Strain of NiTi Based Shape Memory Alloy Wires ,1997.0,49.0,50.0,6.94,Ni49.0Ti50.0Hf1.0 %,1.0
P. E. Thoma; C. Zhang; J. J. Boehm and R. H. Zee,Journal de Physique IV ,The Effect of Hafnium Content and Cycling under an Applied Axial Stress on the Creep and Martensite Strain of NiTi Based Shape Memory Alloy Wires ,1997.0,49.0,50.0,6.94,Ni49.0Ti50.0Hf1.0 %,1.0
P. E. Thoma; C. Zhang; J. J. Boehm and R. H. Zee,Journal de Physique IV ,The Effect of Hafnium Content and Cycling under an Applied Axial Stress on the Creep and Martensite Strain of NiTi Based Shape Memory Alloy Wires ,1997.0,49.0,50.0,6.94,Ni49.0Ti50.0Hf1.0 %,1.0
P. E. Thoma; C. Zhang; J. J. Boehm and R. H. Zee,Journal de Physique IV ,The Effect of Hafnium Content and Cycling under an Applied Axial Stress on the Creep and Martensite Strain of NiTi Based Shape Memory Alloy Wires ,1997.0,49.0,50.0,6.94,Ni49.0Ti50.0Hf1.0 %,1.0
P. E. Thoma; C. Zhang; J. J. Boehm and R. H. Zee,Journal de Physique IV ,The Effect of Hafnium Content and Cycling under an Applied Axial Stress on the Creep and Martensite Strain of NiTi Based Shape Memory Alloy Wires ,1997.0,49.0,50.0,6.94,Ni49.0Ti50.0Hf1.0 %,1.0
P. E. Thoma; C. Zhang; J. J. Boehm and R. H. Zee,Journal de Physique IV ,The Effect of Hafnium Content and Cycling under an Applied Axial Stress on the Creep and Martensite Strain of NiTi Based Shape Memory Alloy Wires ,1997.0,49.0,50.0,6.94,Ni49.0Ti50.0Hf1.0 %,1.0
P. E. Thoma; C. Zhang; J. J. Boehm and R. H. Zee,Journal de Physique IV ,The Effect of Hafnium Content and Cycling under an Applied Axial Stress on the Creep and Martensite Strain of NiTi Based Shape Memory Alloy Wires ,1997.0,49.0,50.0,6.94,Ni49.0Ti50.0Hf1.0 %,1.0
P. E. Thoma; C. Zhang; J. J. Boehm and R. H. Zee,Journal de Physique IV ,The Effect of Hafnium Content and Cycling under an Applied Axial Stress on the Creep and Martensite Strain of NiTi Based Shape Memory Alloy Wires ,1997.0,49.0,50.0,6.94,Ni49.0Ti50.0Hf1.0 %,1.0
P. E. Thoma; C. Zhang; J. J. Boehm and R. H. Zee,Journal de Physique IV ,The Effect of Hafnium Content and Cycling under an Applied Axial Stress on the Creep and Martensite Strain of NiTi Based Shape Memory Alloy Wires ,1997.0,49.0,50.0,6.94,Ni49.0Ti50.0Hf1.0 %,1.0
P. E. Thoma; C. Zhang; J. J. Boehm and R. H. Zee,Journal de Physique IV ,The Effect of Hafnium Content and Cycling under an Applied Axial Stress on the Creep and Martensite Strain of NiTi Based Shape Memory Alloy Wires ,1997.0,49.0,50.0,6.94,Ni49.0Ti50.0Hf1.0 %,1.0
P. E. Thoma; C. Zhang; J. J. Boehm and R. H. Zee,Journal de Physique IV ,The Effect of Hafnium Content and Cycling under an Applied Axial Stress on the Creep and Martensite Strain of NiTi Based Shape Memory Alloy Wires ,1997.0,49.0,48.0,6.94,Ni49.0Ti48.0Hf3.0 %,3.0
P. E. Thoma; C. Zhang; J. J. Boehm and R. H. Zee,Journal de Physique IV ,The Effect of Hafnium Content and Cycling under an Applied Axial Stress on the Creep and Martensite Strain of NiTi Based Shape Memory Alloy Wires ,1997.0,49.0,48.0,6.94,Ni49.0Ti48.0Hf3.0 %,3.0
P. E. Thoma; C. Zhang; J. J. Boehm and R. H. Zee,Journal de Physique IV ,The Effect of Hafnium Content and Cycling under an Applied Axial Stress on the Creep and Martensite Strain of NiTi Based Shape Memory Alloy Wires ,1997.0,49.0,48.0,6.94,Ni49.0Ti48.0Hf3.0 %,3.0
P. E. Thoma; C. Zhang; J. J. Boehm and R. H. Zee,Journal de Physique IV ,The Effect of Hafnium Content and Cycling under an Applied Axial Stress on the Creep and Martensite Strain of NiTi Based Shape Memory Alloy Wires ,1997.0,49.0,48.0,6.94,Ni49.0Ti48.0Hf3.0 %,3.0
P. E. Thoma; C. Zhang; J. J. Boehm and R. H. Zee,Journal de Physique IV ,The Effect of Hafnium Content and Cycling under an Applied Axial Stress on the Creep and Martensite Strain of NiTi Based Shape Memory Alloy Wires ,1997.0,49.0,48.0,6.94,Ni49.0Ti48.0Hf3.0 %,3.0
P. E. Thoma; C. Zhang; J. J. Boehm and R. H. Zee,Journal de Physique IV ,The Effect of Hafnium Content and Cycling under an Applied Axial Stress on the Creep and Martensite Strain of NiTi Based Shape Memory Alloy Wires ,1997.0,49.0,48.0,6.94,Ni49.0Ti48.0Hf3.0 %,3.0
P. E. Thoma; C. Zhang; J. J. Boehm and R. H. Zee,Journal de Physique IV ,The Effect of Hafnium Content and Cycling under an Applied Axial Stress on the Creep and Martensite Strain of NiTi Based Shape Memory Alloy Wires ,1997.0,49.0,48.0,6.94,Ni49.0Ti48.0Hf3.0 %,3.0
P. E. Thoma; C. Zhang; J. J. Boehm and R. H. Zee,Journal de Physique IV ,The Effect of Hafnium Content and Cycling under an Applied Axial Stress on the Creep and Martensite Strain of NiTi Based Shape Memory Alloy Wires ,1997.0,49.0,48.0,6.94,Ni49.0Ti48.0Hf3.0 %,3.0
P. E. Thoma; C. Zhang; J. J. Boehm and R. H. Zee,Journal de Physique IV ,The Effect of Hafnium Content and Cycling under an Applied Axial Stress on the Creep and Martensite Strain of NiTi Based Shape Memory Alloy Wires ,1997.0,49.0,48.0,6.94,Ni49.0Ti48.0Hf3.0 %,3.0
P. E. Thoma; C. Zhang; J. J. Boehm and R. H. Zee,Journal de Physique IV ,The Effect of Hafnium Content and Cycling under an Applied Axial Stress on the Creep and Martensite Strain of NiTi Based Shape Memory Alloy Wires ,1997.0,49.0,48.0,6.94,Ni49.0Ti48.0Hf3.0 %,3.0
P. E. Thoma; C. Zhang; J. J. Boehm and R. H. Zee,Journal de Physique IV ,The Effect of Hafnium Content and Cycling under an Applied Axial Stress on the Creep and Martensite Strain of NiTi Based Shape Memory Alloy Wires ,1997.0,49.0,48.0,6.94,Ni49.0Ti48.0Hf3.0 %,3.0
P. E. Thoma; C. Zhang; J. J. Boehm and R. H. Zee,Journal de Physique IV ,The Effect of Hafnium Content and Cycling under an Applied Axial Stress on the Creep and Martensite Strain of NiTi Based Shape Memory Alloy Wires ,1997.0,49.0,48.0,6.94,Ni49.0Ti48.0Hf3.0 %,3.0
P. E. Thoma; C. Zhang; J. J. Boehm and R. H. Zee,Journal de Physique IV ,The Effect of Hafnium Content and Cycling under an Applied Axial Stress on the Creep and Martensite Strain of NiTi Based Shape Memory Alloy Wires ,1997.0,49.0,48.0,6.94,Ni49.0Ti48.0Hf3.0 %,3.0
P. E. Thoma; C. Zhang; J. J. Boehm and R. H. Zee,Journal de Physique IV ,The Effect of Hafnium Content and Cycling under an Applied Axial Stress on the Creep and Martensite Strain of NiTi Based Shape Memory Alloy Wires ,1997.0,49.0,48.0,6.94,Ni49.0Ti48.0Hf3.0 %,3.0
P. E. Thoma; C. Zhang; J. J. Boehm and R. H. Zee,Journal de Physique IV ,The Effect of Hafnium Content and Cycling under an Applied Axial Stress on the Creep and Martensite Strain of NiTi Based Shape Memory Alloy Wires ,1997.0,49.0,48.0,6.94,Ni49.0Ti48.0Hf3.0 %,3.0
P. E. Thoma; C. Zhang; J. J. Boehm and R. H. Zee,Journal de Physique IV ,The Effect of Hafnium Content and Cycling under an Applied Axial Stress on the Creep and Martensite Strain of NiTi Based Shape Memory Alloy Wires ,1997.0,49.0,48.0,6.94,Ni49.0Ti48.0Hf3.0 %,3.0
P. E. Thoma; C. Zhang; J. J. Boehm and R. H. Zee,Journal de Physique IV ,The Effect of Hafnium Content and Cycling under an Applied Axial Stress on the Creep and Martensite Strain of NiTi Based Shape Memory Alloy Wires ,1997.0,49.0,48.0,6.94,Ni49.0Ti48.0Hf3.0 %,3.0
P. E. Thoma; C. Zhang; J. J. Boehm and R. H. Zee,Journal de Physique IV ,The Effect of Hafnium Content and Cycling under an Applied Axial Stress on the Creep and Martensite Strain of NiTi Based Shape Memory Alloy Wires ,1997.0,49.0,48.0,6.94,Ni49.0Ti48.0Hf3.0 %,3.0
D. Angst; P. Thoma and M. Kao,Journal de Physique IV,The Effect of Hafnium Content on the Transformation Temperatures of Ni49Ti51-xHfx. Shape Memory Alloys,1995.0,49.0,50.5,6.94,Ni49.0Ti50.5Hf0.5 %,0.5
D. Angst; P. Thoma and M. Kao,Journal de Physique IV,The Effect of Hafnium Content on the Transformation Temperatures of Ni49Ti51-xHfx. Shape Memory Alloys,1995.0,49.0,50.0,6.94,Ni49.0Ti50.0Hf1.0 %,1.0
D. Angst; P. Thoma and M. Kao,Journal de Physique IV,The Effect of Hafnium Content on the Transformation Temperatures of Ni49Ti51-xHfx. Shape Memory Alloys,1995.0,49.0,48.0,6.94,Ni49.0Ti48.0Hf3.0 %,3.0
D. Angst; P. Thoma and M. Kao,Journal de Physique IV,The Effect of Hafnium Content on the Transformation Temperatures of Ni49Ti51-xHfx. Shape Memory Alloys,1995.0,49.0,46.0,6.94,Ni49.0Ti46.0Hf5.0 %,5.0
D. Angst; P. Thoma and M. Kao,Journal de Physique IV,The Effect of Hafnium Content on the Transformation Temperatures of Ni49Ti51-xHfx. Shape Memory Alloys,1995.0,49.0,43.0,6.94,Ni49.0Ti43.0Hf8.0 %,8.0
D. Angst; P. Thoma and M. Kao,Journal de Physique IV,The Effect of Hafnium Content on the Transformation Temperatures of Ni49Ti51-xHfx. Shape Memory Alloys,1995.0,49.0,41.0,6.94,Ni49.0Ti41.0Hf10.0 %,10.0
D. Angst; P. Thoma and M. Kao,Journal de Physique IV,The Effect of Hafnium Content on the Transformation Temperatures of Ni49Ti51-xHfx. Shape Memory Alloys,1995.0,49.0,41.0,6.94,Ni49.0Ti41.0Hf10.0 %,10.0
D. Angst; P. Thoma and M. Kao,Journal de Physique IV,The Effect of Hafnium Content on the Transformation Temperatures of Ni49Ti51-xHfx. Shape Memory Alloys,1995.0,49.0,41.0,6.94,Ni49.0Ti41.0Hf10.0 %,10.0
D. Angst; P. Thoma and M. Kao,Journal de Physique IV,The Effect of Hafnium Content on the Transformation Temperatures of Ni49Ti51-xHfx. Shape Memory Alloys,1995.0,49.0,41.0,6.94,Ni49.0Ti41.0Hf10.0 %,10.0
D. Angst; P. Thoma and M. Kao,Journal de Physique IV,The Effect of Hafnium Content on the Transformation Temperatures of Ni49Ti51-xHfx. Shape Memory Alloys,1995.0,49.0,41.0,6.94,Ni49.0Ti41.0Hf10.0 %,10.0
D. Angst; P. Thoma and M. Kao,Journal de Physique IV,The Effect of Hafnium Content on the Transformation Temperatures of Ni49Ti51-xHfx. Shape Memory Alloys,1995.0,49.0,41.0,6.94,Ni49.0Ti41.0Hf10.0 %,10.0
D. Angst; P. Thoma and M. Kao,Journal de Physique IV,The Effect of Hafnium Content on the Transformation Temperatures of Ni49Ti51-xHfx. Shape Memory Alloys,1995.0,49.0,41.0,6.94,Ni49.0Ti41.0Hf10.0 %,10.0
D. Angst; P. Thoma and M. Kao,Journal de Physique IV,The Effect of Hafnium Content on the Transformation Temperatures of Ni49Ti51-xHfx. Shape Memory Alloys,1995.0,49.0,40.0,6.94,Ni49.0Ti40.0Hf11.0 %,11.0
D. Angst; P. Thoma and M. Kao,Journal de Physique IV,The Effect of Hafnium Content on the Transformation Temperatures of Ni49Ti51-xHfx. Shape Memory Alloys,1995.0,49.0,36.0,6.94,Ni49.0Ti36.0Hf15.0 %,15.0
D. Angst; P. Thoma and M. Kao,Journal de Physique IV,The Effect of Hafnium Content on the Transformation Temperatures of Ni49Ti51-xHfx. Shape Memory Alloys,1995.0,49.0,31.0,6.94,Ni49.0Ti31.0Hf20.0 %,20.0
D. Angst; P. Thoma and M. Kao,Journal de Physique IV,The Effect of Hafnium Content on the Transformation Temperatures of Ni49Ti51-xHfx. Shape Memory Alloys,1995.0,49.0,21.0,6.94,Ni49.0Ti21.0Hf30.0 %,30.0
C. Zhang; P. E. Thoma and R. H. Zee,Materials Research Society,The Influence of Hafnium Content; Cold Work; and Heat Treatment on the R-Phase Transformation of Niti Based Shape Memory Alloys,1996.0,49.0,50.0,6.94,Ni49.0Ti50.0Hf1.0 %,1.0
C. Zhang; P. E. Thoma and R. H. Zee,Materials Research Society,The Influence of Hafnium Content; Cold Work; and Heat Treatment on the R-Phase Transformation of Niti Based Shape Memory Alloys,1996.0,49.0,48.0,6.94,Ni49.0Ti48.0Hf3.0 %,3.0
Y. Q. Wang; Y. F. Zheng; W. Cai and L. C. Zhao,Scripta Materialia,The tensile behavior of Ti36Ni49Hf15 high temperature shape memory alloy,1999.0,49.0,36.0,6.94,Ni49.0Ti36.0Hf15.0 %,15.0
X. L. Meng; W. Cai; Y. F. Zheng; Y. B. Rao and L. C. Zhao,Materials Letters,Two-way shape memory effect induced by martensite deformation and stabilization of martensite in Ti36Ni49Hf15 high temperature shape memory alloy,2003.0,49.0,36.0,6.94,Ni49.0Ti36.0Hf15.0 %,15.0
X. L. Meng; W. Cai; Y. F. Zheng; Y. B. Rao and L. C. Zhao,Materials Letters,Two-way shape memory effect induced by martensite deformation and stabilization of martensite in Ti36Ni49Hf15 high temperature shape memory alloy,2003.0,49.0,36.0,6.94,Ni49.0Ti36.0Hf15.0 %,15.0
X. L. Meng; W. Cai; Y. F. Zheng; Y. B. Rao and L. C. Zhao,Materials Letters,Two-way shape memory effect induced by martensite deformation and stabilization of martensite in Ti36Ni49Hf15 high temperature shape memory alloy,2003.0,49.0,36.0,6.94,Ni49.0Ti36.0Hf15.0 %,15.0
X. L. Meng; W. Cai; Y. F. Zheng; Y. B. Rao and L. C. Zhao,Materials Letters,Two-way shape memory effect induced by martensite deformation and stabilization of martensite in Ti36Ni49Hf15 high temperature shape memory alloy,2003.0,49.0,36.0,6.94,Ni49.0Ti36.0Hf15.0 %,15.0
X. L. Meng; W. Cai; Y. F. Zheng; Y. B. Rao and L. C. Zhao,Materials Letters,Two-way shape memory effect induced by martensite deformation and stabilization of martensite in Ti36Ni49Hf15 high temperature shape memory alloy,2003.0,49.0,36.0,6.94,Ni49.0Ti36.0Hf15.0 %,15.0
X. L. Meng; W. Cai; Y. F. Zheng; Y. B. Rao and L. C. Zhao,Materials Letters,Two-way shape memory effect induced by martensite deformation and stabilization of martensite in Ti36Ni49Hf15 high temperature shape memory alloy,2003.0,49.0,36.0,6.94,Ni49.0Ti36.0Hf15.0 %,15.0
X. L. Meng; W. Cai; Y. F. Zheng; Y. B. Rao and L. C. Zhao,Materials Letters,Two-way shape memory effect induced by martensite deformation and stabilization of martensite in Ti36Ni49Hf15 high temperature shape memory alloy,2003.0,49.0,36.0,6.94,Ni49.0Ti36.0Hf15.0 %,15.0
X. L. Meng; W. Cai; Y. F. Zheng; Y. B. Rao and L. C. Zhao,Materials Letters,Two-way shape memory effect induced by martensite deformation and stabilization of martensite in Ti36Ni49Hf15 high temperature shape memory alloy,2003.0,49.0,36.0,6.94,Ni49.0Ti36.0Hf15.0 %,15.0
X. L. Meng; W. Cai; Y. F. Zheng; Y. B. Rao and L. C. Zhao,Materials Letters,Two-way shape memory effect induced by martensite deformation and stabilization of martensite in Ti36Ni49Hf15 high temperature shape memory alloy,2003.0,49.0,36.0,6.94,Ni49.0Ti36.0Hf15.0 %,15.0
X. L. Meng; W. Cai; Y. F. Zheng; Y. B. Rao and L. C. Zhao,Materials Letters,Two-way shape memory effect induced by martensite deformation and stabilization of martensite in Ti36Ni49Hf15 high temperature shape memory alloy,2003.0,49.0,36.0,6.94,Ni49.0Ti36.0Hf15.0 %,15.0
X. L. Meng; W. Cai; Y. F. Zheng; Y. B. Rao and L. C. Zhao,Materials Letters,Two-way shape memory effect induced by martensite deformation and stabilization of martensite in Ti36Ni49Hf15 high temperature shape memory alloy,2003.0,49.0,36.0,6.94,Ni49.0Ti36.0Hf15.0 %,15.0
X. L. Meng; Y. F. Zheng; W. Cai and L. C. Zhao,Journal of Alloys and Compounds,Two-way shape memory effect of a TiNiHf high temperature shape memory alloy,2004.0,49.0,36.0,6.94,Ni49.0Ti36.0Hf15.0 %,15.0
X. L. Meng; Y. F. Zheng; W. Cai and L. C. Zhao,Journal of Alloys and Compounds,Two-way shape memory effect of a TiNiHf high temperature shape memory alloy,2004.0,49.0,36.0,6.94,Ni49.0Ti36.0Hf15.0 %,15.0
